param,value,win_rate_vs_base,return_variance,sample_efficiency_slope,n_episodes,train_updates,out_dir
eps_anneal_steps,9600,0.16,98.51992267714137,0.03565907063131286,500,497,/Users/feng/Desktop/不带斩杀环境的敏感性分析/oat_random_sensitivity/by_param/eps_anneal_steps/value_9600
eps_anneal_steps,12000,0.52,102.70234376375015,0.019163066867605622,500,497,/Users/feng/Desktop/不带斩杀环境的敏感性分析/oat_random_sensitivity/by_param/eps_anneal_steps/value_12000
eps_anneal_steps,14400,0.13,105.26163664040901,0.024067641193079893,500,497,/Users/feng/Desktop/不带斩杀环境的敏感性分析/oat_random_sensitivity/by_param/eps_anneal_steps/value_14400
eps_anneal_steps,16800,0.31,114.46182903556878,0.020461825276899052,500,497,/Users/feng/Desktop/不带斩杀环境的敏感性分析/oat_random_sensitivity/by_param/eps_anneal_steps/value_16800
eps_anneal_steps,19200,0.12,82.56694878033008,0.02056746570003283,500,497,/Users/feng/Desktop/不带斩杀环境的敏感性分析/oat_random_sensitivity/by_param/eps_anneal_steps/value_19200
